Company Name,NAIC Code,Product type,Share of product complaints (%),Product premium,Share of product premiums (%),Number of complaints
TRAVELERS HOME & MARINE INS CO,27998,Private Passenger,0.3,"92,745,903",0.5,0.56
NATIONWIDE INS CO OF AMER,25453,Private Passenger,0.4,"78,482,214",0.5,0.78
PEAK PROP & CAS INS CORP,18139,Private Passenger,0.8,"77,860,594",0.4,1.79
MGA INS CO INC,40150,Private Passenger,0.7,"66,053,729",0.4,1.85
DEPOSITORS INS CO,42587,Private Passenger,0.2,"63,029,124",0.4,0.42
HARTFORD INS CO OF THE SOUTHEAST,38261,Private Passenger,0.1,"61,148,102",0.4,0.36
AUTO CLUB S INS CO,41041,Private Passenger,0.1,"58,375,668",0.3,0.30
IMPERIAL FIRE & CAS INS CO,44369,Private Passenger,0.4,"55,422,653",0.3,1.10
STATE FARM FIRE & CAS CO,25143,Private Passenger,0.6,"54,063,050",0.3,1.94
AIG PROP CAS CO,19402,Private Passenger,0.1,"53,362,579",0.3,0.16
OWNERS INS CO,32700,Private Passenger,0.1,"50,924,141",0.3,0.43
INTEGON PREFERRED INS CO,31488,Private Passenger,0.5,"48,089,598",0.3,1.91
PROGRESSIVE EXPRESS INS CO,10193,Private Passenger,0.3,"46,768,685",0.3,1.03
LIBERTY MUT INS CO,23043,Private Passenger,0.4,"46,127,608",0.3,1.42
FIRST ACCEPTANCE INS CO INC,10336,Private Passenger,2.9,"44,787,861",0.3,11.41
PERMANENT GEN ASSUR CORP,37648,Private Passenger,0.7,"41,717,932",0.2,2.72
MENDOTA INS CO,33650,Private Passenger,0.8,"36,378,079",0.2,3.60
FIRST FLORIDIAN AUTO & HOME INS CO,10647,Private Passenger,0.2,"35,283,613",0.2,0.74
PEACHTREE CAS INS CO,25755,Private Passenger,0.6,"30,195,928",0.2,3.61
CENTURY NATL INS CO,26905,Private Passenger,1.2,"27,927,259",0.2,7.35
MAPFRE INS CO OF FL,34932,Private Passenger,0.1,"27,824,773",0.2,0.47
HORACE MANN PROP & CAS INS CO,22756,Private Passenger,0.1,"27,504,552",0.2,0.48
HARTFORD ACCIDENT & IND CO,22357,Private Passenger,0.1,"27,502,926",0.2,0.79
ASSURANCEAMERICA INS CO,11558,Private Passenger,0.6,"25,730,380",0.1,3.73
HARTFORD INS CO OF THE MIDWEST,37478,Private Passenger,0.1,"24,141,800",0.1,0.72
RESPONSIVE AUTO INS CO,13131,Private Passenger,0.2,"23,458,881",0.1,1.30
LIBERTY MUT FIRE INS CO,23035,Private Passenger,0.2,"23,431,513",0.1,1.12
AUTO OWNERS INS CO,18988,Private Passenger,0.2,"23,184,764",0.1,1.51
MERCURY INS CO OF FL,11202,Private Passenger,0.4,"22,291,955",0.1,3.13
IDS PROP CAS INS CO,29068,Private Passenger,0.1,"22,248,706",0.1,0.39
ALLIED PROP & CAS INS CO,42579,Private Passenger,0.0,"22,179,079",0.1,0.20
FLORIDA FARM BUREAU CAS INS CO,31216,Private Passenger,0.1,"20,337,021",0.1,0.64
TRAVELERS COMMERCIAL INS CO,36137,Private Passenger,0.1,"15,707,299",0.1,0.83
INFINITY ASSUR INS CO,39497,Private Passenger,0.2,"15,222,422",0.1,2.29
ESURANCE INS CO,25712,Private Passenger,0.1,"14,753,770",0.1,0.89
LYNDON SOUTHERN INS CO,10051,Private Passenger,0.0,"14,175,681",0.1,0.31
VICTORIA FIRE & CAS CO,42889,Private Passenger,0.1,"13,377,240",0.1,0.65
STAR & SHIELD INS EXCH,13621,Private Passenger,0.2,"13,288,899",0.1,1.97
LM INS CORP,33600,Private Passenger,0.1,"13,061,284",0.1,0.67
ARTISAN & TRUCKERS CAS CO,10194,Private Passenger,0.1,"10,842,497",0.1,1.61
NATIONAL GENERAL INS ONLINE INC,11044,Private Passenger,0.2,"10,237,002",0.1,2.56
21ST CENTURY N AMER INS CO,32220,Private Passenger,0.0,"10,136,142",0.1,0.43
ALPHA PROP & CAS INS CO,38156,Private Passenger,0.2,"8,759,209",0.1,2.99
HORACE MANN INS CO,22578,Private Passenger,0.1,"8,471,115",0.0,1.03
STAR CAS INS CO,32387,Private Passenger,0.3,"8,297,195",0.0,5.26
FIRST LIBERTY INS CORP,33588,Private Passenger,0.1,"8,054,049",0.0,1.08
FOREMOST INS CO GRAND RAPIDS MI,11185,Private Passenger,0.3,"7,792,993",0.0,5.60
CALIFORNIA CAS INS CO,20125,Private Passenger,0.0,"7,663,709",0.0,0.57
DAIRYLAND INS CO,21164,Private Passenger,0.1,"7,371,294",0.0,2.37
OCCIDENTAL FIRE & CAS CO OF NC,23248,Private Passenger,0.2,"6,327,674",0.0,4.83
INTEGON IND CORP,22772,Private Passenger,0.1,"5,911,576",0.0,1.48
NATIONAL GEN ASSUR CO,42447,Private Passenger,0.1,"5,602,698",0.0,1.56
PHILADELPHIA IND INS CO,18058,Private Passenger,0.0,"4,716,542",0.0,0.93
TWIN CITY FIRE INS CO CO,29459,Private Passenger,0.0,"4,383,043",0.0,1.00
METROPOLITAN GEN INS CO,39950,Private Passenger,0.0,"3,723,411",0.0,1.17
21ST CENTURY PREFERRED INS CO,22225,Private Passenger,0.1,"3,035,503",0.0,2.88
INFINITY INS CO,22268,Private Passenger,0.5,"2,542,939",0.0,34.34
21ST CENTURY IND INS CO,43974,Private Passenger,0.1,"1,967,898",0.0,6.66
FEDERATED NATL INS CO,10790,Private Passenger,0.1,"1,793,711",0.0,7.30
INTEGON NATL INS CO,29742,Private Passenger,0.0,"1,625,654",0.0,2.69
BRISTOL W INS CO,19658,Private Passenger,0.0,"1,622,873",0.0,2.69
LIBERTY INS CORP,42404,Private Passenger,0.0,"1,410,843",0.0,3.09
TITAN INS CO,36269,Private Passenger,0.1,"1,089,572",0.0,8.01
HARTFORD CAS INS CO,29424,Private Passenger,0.1,"880,888",0.0,9.91
FOREMOST PROP & CAS INS CO,11800,Private Passenger,0.1,"871,375",0.0,10.02
TRAVELERS PROP CAS CO OF AMER,25674,Private Passenger,0.0,"261,331",0.0,16.71
NATIONAL GEN INS CO,23728,Private Passenger,0.1,"88,421",0.0,98.76
SAFECO INS CO OF AMER,24740,Private Passenger,0.1,"6,985",0.0,"3,125.33"
TRAVELERS IND CO,25658,Private Passenger,0.0,"5,498",0.0,794.12
SENTRY INS A MUT CO,24988,Private Passenger,0.0,25,0.0,"174,643.37"
ACCEPTANCE INS CO,37958,Private Passenger,0.1,0,0.0,
ACCESS INS CO,11711,Private Passenger,0.0,0,0.0,
ALLSTATE VEHICLE & PROP INS CO,37907,Private Passenger,0.1,0,0.0,
AMERISURE INS CO,19488,Private Passenger,0.0,0,0.0,
AMERISURE MUT INS CO,23396,Private Passenger,0.0,0,0.0,
ARCH IND INS CO,30830,Private Passenger,0.0,0,0.0,
ASCENDANT COMMERCIAL INS INC,13683,Private Passenger,0.1,0,0.0,
DIRECT NATL INS CO,23736,Private Passenger,0.0,0,0.0,
FARMERS SPECIALTY INS CO,43699,Private Passenger,0.0,0,0.0,
FEDERATED MUT INS CO,13935,Private Passenger,0.0,0,0.0,
FOUNDERS INS CO,14249,Private Passenger,0.0,0,0.0,
GEICO CAS CO,41491,Private Passenger,0.5,0,0.0,
GENERAL INS CO OF AMER,24732,Private Passenger,0.0,0,0.0,
GRANADA INS CO,16870,Private Passenger,0.1,0,0.0,
HUDSON INS CO,25054,Private Passenger,0.0,0,0.0,
ILLINOIS NATL INS CO,23817,Private Passenger,0.0,0,0.0,
INFINITY SELECT INS CO,20260,Private Passenger,0.0,0,0.0,
KINGSWAY AMIGO INS CO,21300,Private Passenger,0.1,0,0.0,
MARKEL INS CO,38970,Private Passenger,0.0,0,0.0,
MERCURY CAS CO,11908,Private Passenger,0.1,0,0.0,
MESA UNDERWRITERS SPECIALTY INS CO,36838,Private Passenger,0.0,0,0.0,
MID CENTURY INS CO,21687,Private Passenger,0.0,0,0.0,
NATIONAL CAS CO,11991,Private Passenger,0.0,0,0.0,
NATIONAL IND CO OF THE SOUTH,42137,Private Passenger,0.0,0,0.0,
NATIONWIDE GEN INS CO,23760,Private Passenger,0.0,0,0.0,
OHIO SECURITY INS CO,24082,Private Passenger,0.0,0,0.0,
OLD REPUBLIC INS CO,24147,Private Passenger,0.0,0,0.0,
PROGRESSIVE BAYSIDE INS CO,17350,Private Passenger,0.0,0,0.0,
PROGRESSIVE CAS INS CO,24260,Private Passenger,0.1,0,0.0,
PROGRESSIVE DIRECT INS CO,16322,Private Passenger,0.1,0,0.0,
PROGRESSIVE SOUTHEASTERN INS CO,38784,Private Passenger,0.0,0,0.0,
SAFETY NATL CAS CORP,15105,Private Passenger,0.0,0,0.0,
SELECT INS CO,22233,Private Passenger,0.0,0,0.0,
STATE AUTOMOBILE MUT INS CO,25135,Private Passenger,0.0,0,0.0,
STATE FARM FL INS CO,10739,Private Passenger,0.2,0,0.0,
STATE FARM GEN INS CO,25151,Private Passenger,0.4,0,0.0,
TRAVELERS CAS INS CO OF AMER,19046,Private Passenger,0.0,0,0.0,
TRAVELERS IND CO OF CT,25682,Private Passenger,0.0,0,0.0,
WESCO INS CO,25011,Private Passenger,0.1,0,0.0,
WESTFIELD INS CO,24112,Private Passenger,0.1,0,0.0,
ZURICH AMER INS CO,16535,Private Passenger,0.0,0,0.0,
EQUITY INS CO,28746,Private Passenger,0.0,"-168,630",,
AMERICAN AUTOMOBILE INS CO,21849,Private Passenger,0.0,"-397,478",,
OLD REPUBLIC NATL TITLE INS CO,50520,Title,26.5,"431,451,804",31.6,0.84
FIRST AMER TITLE INS CO,50814,Title,8.8,"289,585,873",21.2,0.42
CHICAGO TITLE INS CO,50229,Title,17.6,"172,707,121",12.7,1.39
FIDELITY NATL TITLE INS CO,51586,Title,11.8,"146,678,870",10.8,1.09
WESTCOR LAND TITLE INS CO,50050,Title,8.8,"78,808,562",5.8,1.53
STEWART TITLE GUAR CO,50121,Title,11.8,"76,257,418",5.6,2.10
COMMONWEALTH LAND TITLE INS CO,50083,Title,2.9,"39,968,699",2.9,1.00
WFG NATL TITLE INS CO,51152,Title,2.9,"36,507,297",2.7,1.10
ATTORNEYS' TITLE INS FUND INC,50687,Title,5.9,0,0.0,
OLD REPUBLIC SURETY CO,40444,Title,2.9,0,0.0,
BRIDGEFIELD EMPLOYERS INS CO,10701,Workers Compensation,5.8,"256,099,724",9.2,0.62
ASSOCIATED INDUSTRIES INS CO INC,23140,Workers Compensation,1.9,"155,185,317",5.6,0.34
FCCI INS CO,10178,Workers Compensation,1.9,"140,181,129",5.1,0.38
TECHNOLOGY INS CO INC,42376,Workers Compensation,1.9,"136,833,420",4.9,0.39
RETAILFIRST INS CO,10700,Workers Compensation,1.9,"90,854,490",3.3,0.59
AMERISURE INS CO,19488,Workers Compensation,3.8,"72,744,071",2.6,1.46
GUARANTEE INS CO,11398,Workers Compensation,3.8,"61,028,121",2.2,1.75
NORGUARD INS CO,31470,Workers Compensation,3.8,"57,374,755",2.1,1.86
TWIN CITY FIRE INS CO CO,29459,Workers Compensation,1.9,"49,449,652",1.8,1.08
TRAVELERS IND CO OF AMER,25666,Workers Compensation,1.9,"49,092,611",1.8,1.08
BRIDGEFIELD CAS INS CO,10335,Workers Compensation,1.9,"43,524,924",1.6,1.22
AMERICAN INTERSTATE INS CO,31895,Workers Compensation,1.9,"32,286,238",1.2,1.65
MARKEL INS CO,38970,Workers Compensation,3.8,"26,892,271",1.0,3.96
OLD REPUBLIC INS CO,24147,Workers Compensation,1.9,"24,439,302",0.9,2.18
ASCENDANT COMMERCIAL INS INC,13683,Workers Compensation,13.5,"23,195,885",0.8,16.07
AMERICAN BUILDERS INS CO,11240,Workers Compensation,1.9,"22,784,141",0.8,2.34
SUNZ INS CO,34762,Workers Compensation,1.9,"21,263,487",0.8,2.50
WESCO INS CO,25011,Workers Compensation,1.9,"20,623,751",0.7,2.58
SOUTHERN OWNERS INS CO,10190,Workers Compensation,3.8,"14,494,645",0.5,7.35
HARTFORD UNDERWRITERS INS CO,30104,Workers Compensation,3.8,"13,724,418",0.5,7.76
TRAVELERS CAS & SURETY CO,19038,Workers Compensation,3.8,"13,049,679",0.5,8.16
LION INS CO,11075,Workers Compensation,1.9,"12,422,255",0.4,4.29
STAR INS CO,18023,Workers Compensation,1.9,"9,833,180",0.4,5.42
PROTECTIVE INS CO,12416,Workers Compensation,1.9,"8,121,095",0.3,6.56
SAFETY NATL CAS CORP,15105,Workers Compensation,1.9,"6,116,677",0.2,8.71
ZURICH AMER INS CO OF IL,27855,Workers Compensation,1.9,"5,959,151",0.2,8.94
QBE INS CORP,39217,Workers Compensation,1.9,"5,882,795",0.2,9.05
STATE FARM FIRE & CAS CO,25143,Workers Compensation,1.9,"5,542,819",0.2,9.61
BITCO GEN INS CORP,20095,Workers Compensation,1.9,"4,489,280",0.2,11.86
NATIONAL FIRE INS CO OF HARTFORD,20478,Workers Compensation,1.9,"3,080,047",0.1,17.29
NATIONAL TRUST INS CO,20141,Workers Compensation,1.9,"786,759",0.0,67.68
AETNA LIFE INS CO,60054,Workers Compensation,1.9,0,0.0,
CASTLEPOINT FLORIDA INS CO,13599,Workers Compensation,1.9,0,0.0,
CO OPTIONS INS CO INC,10834,Workers Compensation,1.9,0,0.0,
GENERAL REINS CORP,22039,Workers Compensation,1.9,0,0.0,
TRAVELERS COMMERCIAL INS CO,36137,Workers Compensation,1.9,0,0.0,
UNDERWRITERS AT LLOYD'S LONDON,15642,Workers Compensation,1.9,0,0.0,
